NAMESPACE         NAME                                                READY   STATUS                       RESTARTS          AGE     IP                NODE       NOMINATED NODE   READINESS GATES
ingress-nginx     ingress-nginx-controller-9sfk2                      1/1     Running                      0                 19h     100.120.13.164    worker     <none>           <none>
ingress-nginx     ingress-nginx-controller-gpkzn                      1/1     Running                      0                 19h     100.120.184.126   staging3   <none>           <none>
ingress-nginx     ingress-nginx-controller-lh7dx                      1/1     Running                      1 (13h ago)       19h     100.120.95.182    staging    <none>           <none>
ingress-nginx     ingress-nginx-controller-xf624                      1/1     Running                      0                 19h     100.120.21.104    staging2   <none>           <none>
kube-system       coredns-67698959d7-hwhlt                            0/1     Pending                      0                 13h     <none>            <none>     <none>           <none>
kube-system       coredns-67698959d7-p7ls2                            0/1     Pending                      0                 13h     <none>            <none>     <none>           <none>
kube-system       coredns-867794c999-5fx7z                            1/1     Running                      0                 15h     10.42.173.157     staging2   <none>           <none>
kube-system       coredns-867794c999-bjxh7                            1/1     Running                      0                 15h     10.42.44.144      staging3   <none>           <none>
kube-system       local-path-provisioner-7d78d7c5d7-h8l7m             1/1     Running                      0                 132m    10.42.171.85      worker     <none>           <none>
kube-system       metrics-server-65ddb7d4b5-dvxk4                     1/1     Running                      0                 132m    10.42.171.81      worker     <none>           <none>
kube-system       sealed-secrets-controller-769c867c6b-7zvgk          1/1     Running                      0                 14h     10.42.44.157      staging3   <none>           <none>
longhorn-system   csi-attacher-7bc5d6d8c9-2vbwb                       1/1     Running                      28 (5m10s ago)    132m    10.42.16.221      staging    <none>           <none>
longhorn-system   csi-attacher-7bc5d6d8c9-58kg6                       1/1     Running                      0                 14h     10.42.173.159     staging2   <none>           <none>
longhorn-system   csi-attacher-7bc5d6d8c9-9mcwc                       1/1     Running                      0                 14h     10.42.44.154      staging3   <none>           <none>
longhorn-system   csi-provisioner-d4b5d654-5lftl                      1/1     Running                      0                 14h     10.42.44.153      staging3   <none>           <none>
longhorn-system   csi-provisioner-d4b5d654-d4cwz                      1/1     Running                      28 (5m28s ago)    132m    10.42.16.212      staging    <none>           <none>
longhorn-system   csi-provisioner-d4b5d654-nsz6q                      1/1     Running                      1 (13h ago)       14h     10.42.173.164     staging2   <none>           <none>
longhorn-system   csi-resizer-65bfd847d6-6flss                        1/1     Running                      0                 14h     10.42.44.149      staging3   <none>           <none>
longhorn-system   csi-resizer-65bfd847d6-jfk84                        1/1     Running                      0                 14h     10.42.173.161     staging2   <none>           <none>
longhorn-system   csi-resizer-65bfd847d6-ngz67                        0/1     CrashLoopBackOff             27 (4m16s ago)    132m    10.42.16.240      staging    <none>           <none>
longhorn-system   csi-snapshotter-7c9b75dd45-6k4tz                    0/1     CrashLoopBackOff             27 (4m51s ago)    132m    10.42.16.250      staging    <none>           <none>
longhorn-system   csi-snapshotter-7c9b75dd45-7pzpm                    1/1     Running                      0                 14h     10.42.173.160     staging2   <none>           <none>
longhorn-system   csi-snapshotter-7c9b75dd45-ftq9j                    1/1     Running                      0                 14h     10.42.44.147      staging3   <none>           <none>
longhorn-system   engine-image-ei-75a03ec3-dp6bx                      1/1     Running                      0                 19h     10.42.171.67      worker     <none>           <none>
longhorn-system   engine-image-ei-75a03ec3-tjf66                      1/1     Running                      1 (13h ago)       19h     10.42.16.204      staging    <none>           <none>
longhorn-system   engine-image-ei-75a03ec3-xh6cq                      1/1     Running                      0                 19h     10.42.173.130     staging2   <none>           <none>
longhorn-system   engine-image-ei-75a03ec3-ztf7m                      1/1     Running                      0                 19h     10.42.44.131      staging3   <none>           <none>
longhorn-system   hourly-snap-29620025-hmpm6                          0/1     Completed                    0                 61s     10.42.171.98      worker     <none>           <none>
longhorn-system   instance-manager-5d2f8f7b40e0ff2391b380c047f8fbb1   1/1     Running                      0                 99m     10.42.171.94      worker     <none>           <none>
longhorn-system   instance-manager-941a1b845626bcd774784c3f514bd9b2   1/1     Running                      0                 19h     10.42.44.135      staging3   <none>           <none>
longhorn-system   instance-manager-ceaf4b1f97e39200f80f6ec16ccf714a   1/1     Running                      0                 19h     10.42.173.136     staging2   <none>           <none>
longhorn-system   longhorn-csi-plugin-24wm5                           2/3     Running                      157 (5m25s ago)   19h     10.42.16.208      staging    <none>           <none>
longhorn-system   longhorn-csi-plugin-2xnf2                           3/3     Running                      0                 19h     10.42.44.132      staging3   <none>           <none>
longhorn-system   longhorn-csi-plugin-dtfkg                           3/3     Running                      0                 19h     10.42.173.131     staging2   <none>           <none>
longhorn-system   longhorn-csi-plugin-ztmrt                           3/3     Running                      0                 19h     10.42.171.66      worker     <none>           <none>
longhorn-system   longhorn-driver-deployer-5cb9dc5bc-qm2wh            1/1     Running                      0                 14h     10.42.44.158      staging3   <none>           <none>
longhorn-system   longhorn-manager-6t6b6                              2/2     Running                      1 (19h ago)       19h     10.42.173.132     staging2   <none>           <none>
longhorn-system   longhorn-manager-hb2hd                              2/2     Running                      1 (19h ago)       19h     10.42.44.130      staging3   <none>           <none>
longhorn-system   longhorn-manager-j2fjg                              2/2     Running                      0                 19h     10.42.171.65      worker     <none>           <none>
longhorn-system   longhorn-manager-nktzv                              1/2     Running                      2 (13h ago)       19h     10.42.16.210      staging    <none>           <none>
longhorn-system   longhorn-ui-f55f76989-czjxp                         1/1     Running                      0                 14h     10.42.173.158     staging2   <none>           <none>
longhorn-system   longhorn-ui-f55f76989-k6htw                         1/1     Running                      1 (14h ago)       14h     10.42.44.156      staging3   <none>           <none>
mail              stalwart-mail-0                                     1/1     Running                      0                 12h     10.42.44.180      staging3   <none>           <none>
platform-system   sftp-gateway-5b46b6bcdd-6t7js                       1/1     Running                      0                 14h     10.42.44.146      staging3   <none>           <none>
platform          admin-panel-559b7768c6-2zhb8                        1/1     Running                      0                 97m     10.42.173.180     staging2   <none>           <none>
platform          admin-panel-559b7768c6-qx94b                        1/1     Running                      0                 97m     10.42.16.228      staging    <none>           <none>
platform          client-panel-6f4bc5b5c-6x5jb                        1/1     Running                      0                 97m     10.42.173.182     staging2   <none>           <none>
platform          client-panel-6f4bc5b5c-rr55z                        1/1     Running                      0                 97m     10.42.44.185      staging3   <none>           <none>
platform          dex-6bcb4cb6d7-7pfn8                                1/1     Running                      0                 13h     10.42.173.170     staging2   <none>           <none>
platform          dex-6bcb4cb6d7-zf2k7                                1/1     Running                      0                 12h     10.42.44.178      staging3   <none>           <none>
platform          oauth2-proxy-6f7884bc5b-5s5jj                       1/1     Running                      4 (13h ago)       13h     10.42.173.171     staging2   <none>           <none>
platform          oauth2-proxy-6f7884bc5b-v4cdv                       1/1     Running                      0                 12h     10.42.44.179      staging3   <none>           <none>
