NAMESPACE         NAME                                                READY   STATUS             RESTARTS        AGE   IP                NODE       NOMINATED NODE   READINESS GATES
longhorn-system   instance-manager-ceaf4b1f97e39200f80f6ec16ccf714a   1/1     Running            0               14m   10.42.173.135     staging2   <none>           <none>
longhorn-system   instance-manager-d8cc27b2d82545219e71e4db09ab6c49   1/1     Running            0               18m   10.42.178.85      staging1   <none>           <none>
longhorn-system   longhorn-csi-plugin-6j269                           3/3     Running            0               18m   10.42.178.99      staging1   <none>           <none>
longhorn-system   longhorn-csi-plugin-clflh                           3/3     Running            0               15m   10.42.173.129     staging2   <none>           <none>
longhorn-system   longhorn-csi-plugin-jl2xq                           3/3     Running            0               15m   10.42.44.131      staging3   <none>           <none>
longhorn-system   longhorn-csi-plugin-pqwtx                           3/3     Running            0               15m   10.42.171.68      worker     <none>           <none>
longhorn-system   longhorn-driver-deployer-5cb9dc5bc-9jqqx            1/1     Running            0               17m   10.42.178.112     staging1   <none>           <none>
longhorn-system   longhorn-manager-7btd2                              2/2     Running            0               15m   10.42.171.67      worker     <none>           <none>
longhorn-system   longhorn-manager-bq96d                              2/2     Running            0               15m   10.42.44.132      staging3   <none>           <none>
longhorn-system   longhorn-manager-dkb9v                              2/2     Running            0               16m   10.42.178.139     staging1   <none>           <none>
longhorn-system   longhorn-manager-mz26f                              2/2     Running            1 (14m ago)     15m   10.42.173.132     staging2   <none>           <none>
longhorn-system   longhorn-ui-f55f76989-mpw5n                         1/1     Running            2 (16m ago)     17m   10.42.178.113     staging1   <none>           <none>
longhorn-system   longhorn-ui-f55f76989-nzt49                         1/1     Running            2 (16m ago)     17m   10.42.178.124     staging1   <none>           <none>
mail              stalwart-mail-0                                     1/1     Running            0               17m   10.42.178.142     staging1   <none>           <none>
platform-system   sftp-gateway-5b46b6bcdd-fcfhj                       1/1     Running            0               17m   10.42.178.138     staging1   <none>           <none>
platform          admin-panel-559b7768c6-5m5qv                        1/1     Running            0               12m   10.42.173.142     staging2   <none>           <none>
platform          admin-panel-559b7768c6-lkjm9                        1/1     Running            0               12m   10.42.178.146     staging1   <none>           <none>
platform          client-panel-6f4bc5b5c-nzh4t                        1/1     Running            0               12m   10.42.178.145     staging1   <none>           <none>
